Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
7c08d0c062217ce45cf0ea28e5ad28644d18faff,Fixed termination of program,['767e4a7d733da3772348bd68932c5a76647bc7d0'],False,"['Contracts.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts', 'VSDebugger.ts']"
8251270d6bdd8efafb767e9340f3ad7faabd69c4,Modified to support conditionally breaking into exceptions,['c450e67c0eec11713faf232b5466123f6e47cd22'],False,"['README.md', 'package.json', 'Contracts.ts', 'TryParser.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts', 'VSDebugger.ts']"
ac72f7a4c5eb2f7e10c0ba4a9ecf6ddc190e6c48,experimental debugging of django and support for stopOnEntry,['20b342c629c76fb8b5b8d8285116f17414973440'],False,"['launch.json', 'README.md', 'package.json', 'BaseDebugger.ts', 'Contracts.ts', 'OnPortOpenedHandler.ts', 'SocketStream.ts', 'TryParser.ts', 'Utils.ts', 'DjangoDebugger.ts', 'ProxyCommands.ts', 'PythonDebugger.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts', 'VSDebugger.ts']"
8e7d1fde1d1371536bda23b06c0bdc3d2edb9277,"Merge pull request #13 from jstnlef/fix-flake8-format-string

Add quotes around format parameters to ensure that flake8 runs correctly","['20b342c629c76fb8b5b8d8285116f17414973440', 'b343b6f51605e1b4f18569c7f858258904ae77da']",True,[]
6104e1276a05ad0809ffc0bf91116c5fcb139b70,"Django debugging, more options for debugging, partial work on remote debugging",['4667a496c8621aaff62e6060b8a51d0b3a9bd7c9'],False,"['launch.json', 'README.md', 'package.json', 'visualstudio_py_debugger.py', 'Contracts.ts', 'OnPortOpenedHandler.ts', 'SocketStream.ts', 'TryParser.ts', 'Utils.ts', 'DebugClient.ts', 'DebugFactory.ts', 'LocalDebugClient.ts', 'RemoteDebugClient.ts', 'BaseDebugServer.ts', 'DebugServerFactory.ts', 'LocalDebugServer.ts', 'RemoteDebugServer.ts', 'Main.ts', 'ProxyCommands.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts', 'commandRunner.ts', 'common.ts', 'debuggerMain.ts', 'main.ts', 'pdb.ts', 'pdbRunner.ts', 'DjangoDebugger.ts', 'PythonDebugger.ts', 'VSDebugger.ts', 'baseFormatter.ts', 'pylint.ts']"
1ba3257123a9f5ec7c5d867f79e039b35620b001,Fixed checking python path,['6104e1276a05ad0809ffc0bf91116c5fcb139b70'],False,"['DebugClient.ts', 'LocalDebugClient.ts', 'Main.ts']"
7d21b97ea3944cc48507517c6db9c9d5dabd6502,"changed pause reason to ""user request"" (based on value in node debugger), set working directory for launched console app",['b558ee38f85f34480530e0fe409a70fa62ec389a'],False,"['LocalDebugClient.ts', 'Main.ts']"
585222033f1cf0a0bc313887a138929346b7421a,updated readme and version (due to formatting issues),['991d43d2db9a9a7aa249049886e1645392c98205'],False,"['README.md', 'package.json']"
e87c7809467e083e646f085dbf935457b38d973f,fixed verion and readme (inconsistent rendering on mac and windows),['da23aad94207bb344b2962f99d03416dea0e9a9e'],False,"['README.md', 'package.json']"
c3fcaddea16c297832fd36f888ba4287e767171c,Allow debugger to run on case-sensitive fs's (i.e. Ubuntu),['e87c7809467e083e646f085dbf935457b38d973f'],False,['package.json']
052ab9f475c3e6473a98cdd5ede89bbc7e59e759,Fixed wrong case in `require`,['c3fcaddea16c297832fd36f888ba4287e767171c'],False,['LocalDebugClient.ts']
4219a8808988d44a10c842fd6bf1fc16194d89ed,"Merge pull request #21 from danielgindi/patch-1

Allow debugger to run on case-sensitive fs's (i.e. Ubuntu)","['e87c7809467e083e646f085dbf935457b38d973f', '052ab9f475c3e6473a98cdd5ede89bbc7e59e759']",True,[]
350e80b69b5db05c32cd2ce0019483e12ac1f8db,addd support for django (merged changes),"['4219a8808988d44a10c842fd6bf1fc16194d89ed', 'c6eefd1ee2afbdd8924e736843321a6d9b6b8549']",True,[]
769b3b8b971a8e33b5830812e347f4c0bb869693,"Merge pull request #26 from DonJayamanne/fixSpaceInPathForAutoPep

added double quotes to file name when linting, account for spaces in …","['350e80b69b5db05c32cd2ce0019483e12ac1f8db', '4da15c93d6b0217edc0bb187d96f44afa3688f75']",True,[]
a0233016efb0d1562973433afcf05d20405d13c2,additional error handling,['563264b6b6a80b9f4094ceb702ad56932dd9f3b3'],False,"['README.md', 'configSettings.ts', 'jediProxy.ts']"
79387ed6a99acfe8854992dbf99da9764c262907,fixed shebang issues and remove virtualenv path support (support for virtual env needs to be done separately and properly),['e78670e58764afd85359e0b6ce21b6f629b9c4f2'],False,"['configSettings.ts', 'LocalDebugClient.ts']"
43390997ffc17ab3de1687f1db60ab975be22296,disabled remote debugging,['85f2dcd024d1343f5e715e6d02f0a359808033e8'],False,"['README.md', 'package.json', 'Main.ts', 'PythonProcess.ts', 'jediProxy.ts']"
72f20ad2f730ebe45d86915612dc0a2664dd3018,modifications to map paths during remote debugging,['85f2dcd024d1343f5e715e6d02f0a359808033e8'],False,"['README.md', 'Main.ts']"
a2dc33ca24d7cc8ffebbcbdab701fdf75d807e6b,fixed case of main.js file in package.json,['72f20ad2f730ebe45d86915612dc0a2664dd3018'],False,['package.json']
9abeaac1b77c424b789d786d0a06ed4786f09dd8,Added quotes around format-commands to prevent space errors.,['43390997ffc17ab3de1687f1db60ab975be22296'],False,"['autoPep8Formatter.ts', 'yapfFormatter.ts']"
443071869d2ef8fb4d359ab2944cf90cde0c86c0,"Merge pull request #39 from jxem/fixFormatCommands

Added quotes around format-commands to prevent space errors.","['43390997ffc17ab3de1687f1db60ab975be22296', '9abeaac1b77c424b789d786d0a06ed4786f09dd8']",True,[]
d87eb86ed289c634bd0b87d7a6a61d8ff55695b3,merged changes,"['ad22c751f94e5bd9a4fb87dce1117644b7178579', '443071869d2ef8fb4d359ab2944cf90cde0c86c0']",True,[]
49116db44f1ec847f599da63567e22c199e7bb92,Fix valid json snippet file,['9926225a004439d88b5c221e2770ca866f513ad4'],False,['python.json']
0b96dd43857d51479627b5f5135828333c6de1b5,Change marketplace icon and banner color,['3c7e95527b85028de1d79d8705eb2a409ab3c723'],False,"['icon.png', 'icon.svg', 'package.json']"
78ab7b5757ec67d9b26cda9870a2b4e408fe9071,"Merge pull request #63 from felixfbecker/master

Change marketplace icon and banner color","['3c7e95527b85028de1d79d8705eb2a409ab3c723', '0b96dd43857d51479627b5f5135828333c6de1b5']",True,[]
41b39e885b99cb40814f8a257da9b18b3bba9e06,allowed ability to control breaking into exceptions,['8776804c24372da66fde40370bbdc6cadc8acf47'],False,"['package.json', 'childProc.ts', 'Contracts.ts', 'OnPortOpenedHandler.ts', 'RemoteDebugServer.ts', 'Main.ts', 'PythonProcess.ts', 'jediProxy.ts', 'pylint.ts']"
bd748ab4b532ff4b93215a3ed9616254c1e65040,Fix typo in README.md file,['a060820d7132d8ead314d1da457fd296e9821dec'],False,['README.md']
2a7c9b5ef5764dd44d4428055cb16ceb8edf124b,"Merge pull request #66 from LRPalacios/patch-1

Fix typo in README.md file","['a060820d7132d8ead314d1da457fd296e9821dec', 'bd748ab4b532ff4b93215a3ed9616254c1e65040']",True,[]
b552c8b29d1165324fd8535d195d0442b2ef1bb4,"Catch exception while traversing definitions
fix issue : https://github.com/DonJayamanne/pythonVSCode/issues/58",['2a7c9b5ef5764dd44d4428055cb16ceb8edf124b'],False,['completion.py']
be50b5de20daaa75d07f39921c3bdea9b9bdb2ad,"Enable all_scopes for jedi.api.name while listing all symbols within a python source file
fix ISSUE: https://github.com/DonJayamanne/pythonVSCode/issues/75",['b552c8b29d1165324fd8535d195d0442b2ef1bb4'],False,['completion.py']
83c43f879769b33bc43080831de56071748d751f,"Merge pull request #78 from wakensky/catch_exception_while_traversing_definitions

Catch exception while traversing definitions","['2a7c9b5ef5764dd44d4428055cb16ceb8edf124b', 'be50b5de20daaa75d07f39921c3bdea9b9bdb2ad']",True,[]
f1f5e032bf2e143cc15cd7d7ec5f7cbabaaced9e,"Merge pull request #45 from MircoT/master

Fix valid json snippet file","['83c43f879769b33bc43080831de56071748d751f', '26fb29d20791257386c1968c07ef373da720008b']",True,[]
48c494c66f782dcf3185f085b047922777152870,changes to fix cwd and remote debugging,['a060820d7132d8ead314d1da457fd296e9821dec'],False,"['launch.json', 'package.json', 'Contracts.ts', 'LocalDebugClient.ts', 'RemoteDebugServer.ts']"
1ff7abc9e4c43bddb0f20aaffb6150bb562c6928,removed console.log and similar as this interferes with the debugger (specially when using unicode characters).,['e4d95244c0353dae05cb2f1ccb546e4f895d37d5'],False,"['.name', 'PythonTools.iml', 'encodings.xml', 'misc.xml', 'modules.xml', 'workspace.xml', 'SocketStream.ts', 'LocalDebugClient.ts', 'LocalDebugServer.ts', 'RemoteDebugServer.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts']"
05b07f45adb10e3c6de639e363115bdf3c1d777b,Changes to method names for autoformat saving,['df07091706d1d9646f7b957b7a03a9e8757a23c0'],False,"['extension.ts', 'formatOnSaveProvider.ts']"
9af593020aa38e4e01d4c76278608a4cea9f64e8,fixed version in readme,['34d3ae0523c16366eddeb04ba87f75cb7fc92695'],False,['README.md']
63ecc628899659ace6351cf4577d209970192481,added support for console app debugging on Mac #128 (also remove spaces between the launch arguments),['d92348fa49a3442153d7ad640285ddd1487a5705'],False,"['README.md', 'package.json', 'open.ts', 'LocalDebugClient.ts']"
ab6aabdf718a735247d3e7860669b36ebed007ba,updated readme with fix for #117,['7d4c987cbf415416eb7112d0b8c3a10a248a2dcc'],False,['README.md']
872e77aa0e72aff79e93a642b899efc1017fe0c3,Fixed issue where env variables aren't inherited in debugger #77 and #109,['ab6aabdf718a735247d3e7860669b36ebed007ba'],False,"['README.md', 'LocalDebugClient.ts']"
d548110f2beae6b6dcab9a96b01216760bd15c0b,fixed auto indenting #137,['478af0c8ca4233c909fb663e08f7ceee8b19b697'],False,['extension.ts']
eab19c41a139d4433db539e3d07d5b8f2b1f5d84,fixed setting of current working directory for python (cwd),['aaac9cc7946fb5900dfc462f6918db0a2d3b9576'],False,['LocalDebugClient.ts']
eaf2f4c3580c869f8f474c5567413637024912f8,Fixed issue of creating multiple output channels with the same name,['757e0921e38b86cd8802d52f90de5eb4d1ef63f6'],False,['extension.ts']
28b38247fe9a95129e323990d90ee4ec5cf7ad3c,fix unit tests,['c70f91207d7938897c1464d7bcd277faaec638e8'],False,['testprovider.ts']
af7029ec3ad4a1e7c1ae99a8c3295afeb39053e2,fixed unittest,['b5c24fe4e7c599c27a46dfaab9c8c356cd56a2ed'],False,['unittest.ts']
b37a677c4369699898db564a2c5bcfb2ac62ca7c,fixed linting,['27f89824cd4cd1f07878d69be1b8e66447c74411'],False,['importSortProvider.ts']
bcf952a727e010a64e845e6238c5f08701e1a065,fix linter errors for debugger,['5fc2411ad1d36b69cd182f34fd7783ef6d0950bc'],False,"['SocketStream.ts', 'TryParser.ts', 'Utils.ts', 'DebugClient.ts', 'DebugFactory.ts', 'LocalDebugClient.ts', 'RemoteDebugClient.ts', 'BaseDebugServer.ts', 'DebugServerFactory.ts', 'LocalDebugServer.ts', 'RemoteDebugServer.ts', 'Main.ts', 'ProxyCommands.ts', 'PythonProcess.ts', 'PythonProcessCallbackHandler.ts']"
45bfd12abd98c46fb575c119a372353ca40507c6,Modified to display errors returned by debugger #111,['bcf952a727e010a64e845e6238c5f08701e1a065'],False,"['LocalDebugClient.ts', 'LocalDebugServer.ts', 'Main.ts']"
e6aaf3ed5d3316178882bb15c40f38f3bfb599f3,fixed prospector linting #142,['a51d68758b223c9d17ff6f665e1d2b300684b76f'],False,['prospector.ts']
691872d08a462ff364bbf036252687848ce41a3e,added support to notify VS Code debugger that exception breakpoints are supported 159,['7444c2efb5f4832c4da1f4c2b825dd6caf22595e'],False,['Main.ts']
e08316f6a09a869b4fcd313110bd81a1594939a6,fix typ0 #156,['91d7dcd526eab1c6e1de3b45a58f6c5e76636ef1'],False,['telemetryContracts.ts']
351a6e52f14345c18cfd3be39e842b86b32a3bd4,Added support for telemetry in debug adapter using VS Code API #156,['ba32886616facbfec7f5a6547da2e543401f41f5'],False,"['package.json', 'Contracts.ts', 'Main.ts', 'extension.ts', 'extensionMessaging.ts', 'extensionServer.ts', 'hash.ts']"
92b87de2639b1a778444d2e5d347f1831bd5cbd0,removed old cold related to linting on text change #134,['5bd527274441b5b9d97fb0022fd014be50cd2c67'],False,['lintProvider.ts']
689064b70556512acef738bbaa13d3b7595e1051,fixed travis.yml,['bbebf3e16ddd35b5119583f8148c5e2e1b2c7add'],False,['.travis.yml']
c66e8cbd62848041d9968d89e7a20148c8222f4c,fixed errors in unit test,['c8dee7be986f91d85826bd9593faddef1e1a7352'],False,['extension.format.test.ts']
3a51765dbf97fcb887e865dd6e87fbceb7b1d636,fixed python version,['8954bdc107deda83b26456d4c280688a90e62027'],False,['.travis.yml']
dc35f2fb344d3f43069594d23dce2e6d61d9a737,Fixed linting unit test errors,['3a51765dbf97fcb887e865dd6e87fbceb7b1d636'],False,"['extension.format.test.ts', 'beforeYapf.py', 'beforeYapfFormatOnSave.py']"
a87ffb469b7eff5bf13a5828fe4a8d9f47e7ce80,fixed unit test (falling over when opening document) #160,['a90f7b1c71233b1b793daea4eac8c3980975abbb'],False,"['.travis.yml', 'extension.format.test.ts']"
cb0d8d2bb20b7ba36c0e1308e06bbd800c847246,changes to get python interpreter path #178,['a87ffb469b7eff5bf13a5828fe4a8d9f47e7ce80'],False,"['childProc.ts', 'configSettings.ts', 'utils.ts']"
ffe3053fd59ba5f9072a957b1453ba97cc609547,"changes to use execFile #160, #163 and #178",['82c5d1758a6cc6afe700430401763617bd18b242'],False,['extension.common.test.ts']
774787b33850fefc8408d26ab20e5875eabc945f,modified linter to check version of python and change test results accordingly #160,['61e61c12d4a84758f831e922db854069303d6445'],False,"['extension.common.test.ts', 'extension.format.test.ts', 'extension.lint.test.ts', '.pylintrc']"
5681a16908ee2a70b7a7f2b953dd94ab88396962,fixed promise #160,['1fee5e138d72c17040445918604fdd7144f4c571'],False,['extension.lint.test.ts']
973707604570eaaeb53eba8712af4ab4a9b38664,logging errors #160,['5681a16908ee2a70b7a7f2b953dd94ab88396962'],False,"['extension.common.test.ts', 'extension.format.test.ts', 'extension.lint.test.ts']"
426f6c9752c6134d27b65f4c8cac37375e1d4cf8,fixed how version numbers are checked #160,['973707604570eaaeb53eba8712af4ab4a9b38664'],False,['extension.lint.test.ts']
87c66cebf656a395e957fdc99523d098a47e3e4b,fixed issues with linters #160,['2332afb989052e5f4952b7c44a4da1d785ff58c2'],False,"['utils.ts', 'flake8.ts', 'pep8Linter.ts', 'extension.common.test.ts', 'extension.format.test.ts', 'extension.lint.test.ts', '.flake8', '.pep8']"
cd7f593a16a893ecc80bec1aaedd0a932f74faf5,"changes to how python utilities are located (setting path envionment variable, giving preference to python executable path) #178",['14ba1d8eec5a3f57ede6cb898655c7221d0ff9d8'],False,['utils.ts']
321febea57c4728141e9dabaa3b5435e3c5191ce,Changes to path varaible name (Path in Windows and PATH in mac),['cd7f593a16a893ecc80bec1aaedd0a932f74faf5'],False,['utils.ts']
cf2862aeb246bb3f0899650afddf7bf7b8bbe2d9,"reverted code to prefix path with python path #148, #178",['33346e1e3c5e5145c19be974224fe25bf698a0a6'],False,['utils.ts']
4106ac0f51d4fa9e052e4ddc90def45b69bca66f,"fixed issue where file path contained additional arguments #148, #178",['cf2862aeb246bb3f0899650afddf7bf7b8bbe2d9'],False,['utils.ts']
ad77836a010e20595936754131fdcce87911b8cb,"changes to use execFile for linting, formatting, running unit test and other python scripts #148, #178",['4106ac0f51d4fa9e052e4ddc90def45b69bca66f'],False,"['package.json', 'configSettings.ts', 'autoPep8Formatter.ts', 'yapfFormatter.ts', 'flake8.ts', 'pep8Linter.ts', 'prospector.ts', 'pydocstyle.ts', 'pylint.ts', 'jediProxy.ts', 'nosetests.ts', 'pytest.ts', 'unittest.ts']"
c6582338cd03f31beef037c38f7ca7860ae57f74,Fixed to handle error code 127 as well (command not found) #148 #178,['ad77836a010e20595936754131fdcce87911b8cb'],False,"['utils.ts', 'baseLinter.ts', 'lintProvider.ts']"
0bd4c3817d89ffff346ca461c499a0cacb4429da,"fixed issues in linting using pydocstyle and flake8 #148, #178",['aafdf064d525b3f1b5c0f003466891fd610f35c5'],False,"['utils.ts', 'flake8.ts', 'pydocstyle.ts', 'extension.lint.test.ts', '.pydocstyle']"
780ca99de4de12949438d2105aff5313ea10694b,bug fix in utils #148,['0bd4c3817d89ffff346ca461c499a0cacb4429da'],False,['utils.ts']
d9ace588055f9df7670c8da37fda31394e3fa1d2,changes to travis.yml,['780ca99de4de12949438d2105aff5313ea10694b'],False,['requirements.txt']
bc438826b0185b3274316a7ca3325a5e03bebcd8,changes to travis ci #160,['d9ace588055f9df7670c8da37fda31394e3fa1d2'],False,['requirements.txt']
869012525a07a8af4dafe543078a2370cf5877f7,added some logging to determine why tests fail on travis #160,['48a1bb1eadb89dd6f5cb3e6501bd4dd183246d2a'],False,['extension.lint.test.ts']
c504d899b091efdcd92717fd2c2c6671790ff764,modified to display better error messages,['869012525a07a8af4dafe543078a2370cf5877f7'],False,"['baseFormatter.ts', 'baseLinter.ts', 'prospector.ts', 'pydocstyle.ts', 'jediProxy.ts', 'lintProvider.ts']"
21a76ea71bbd30be345b51d435ffd86533e20d38,fixed version number,['656412e79bc329432af8970bf1622237401139ab'],False,['package.json']
b4b0bd0b96f66b087ab5a285fbf164cf66beaf28,fixed error in error messages being generated,['21a76ea71bbd30be345b51d435ffd86533e20d38'],False,"['baseFormatter.ts', 'baseLinter.ts']"
2d7f2bb52a522569db90f852d9ddd6e386e81df9,removed unncessary line break,['e4057f8dfa2c590dd67997450bbcebc5c0e0fed3'],False,"['baseFormatter.ts', 'baseLinter.ts']"
77f62d6da4e21579074a43509764b08470d7e243,"fix paths for windows #148, #178",['7e854e519ed804c79270882dcb9c47dc0ea289b5'],False,['utils.ts']
2b3b5ca4aac223360ecc3acd276aa10346b8dd4b,fixes to support CRLF in formatting #181,['2d7f2bb52a522569db90f852d9ddd6e386e81df9'],False,"['diff-match-patch.js', 'editor.ts', 'baseFormatter.ts', 'baseLinter.ts', 'tsconfig.json', 'tsconfig.json']"
acc94fef1946a944a5d52369fa89b237e00a054c,Changes to how lines are split,['77f62d6da4e21579074a43509764b08470d7e243'],False,['jediProxy.ts']
edf8881a3e44a036da4d3a45baa3145efe026e73,A better patch of the diff-match-patch library issue #181,['2b3b5ca4aac223360ecc3acd276aa10346b8dd4b'],False,"['diff-match-patch.js', 'editor.ts', 'tsconfig.json', 'tsconfig.json']"
6c44a146c70d541064bedbf8da98eb0e807f0400,fixed imports #181,['902bfdb701ed62f4eadd0e87708a596c41a0705b'],False,['editor.ts']
779f0ef2a9c996a4207a34485c158e9f15bfed62,Removed change history and left just the current release information in readme,['c3d34b89ae1620e296bdeaaae17a92ddb363bf3a'],False,['README.md']
c9dde40bd63c9bb35a597f87ba88e1a9742b6848,changed app insights key #156,['125960ef85bb4973248f0ea86044f3cbbaec7c1e'],False,"['package.json', 'telemetry.ts']"
21cbb238f5f9297a80a4d766c259ad702992fb74,fixed typo,['3fb0625357b2c80878bc5f7fbca478df412b93af'],False,['LocalDebugClient.ts']
a06d1450202d54ac5ee6ffc47068e1366d9a79df,fixes and optimizations when handling python paths #178,['21cbb238f5f9297a80a4d766c259ad702992fb74'],False,['utils.ts']
1cd405561f52a5ba62afe9e1afb16d522dbc5a42,fix for #181 (strip text not supported),['a06d1450202d54ac5ee6ffc47068e1366d9a79df'],False,['editor.ts']
c3e602358ace439cbadd237ce4cb41ee56f7f73b,stop displaying error messages #185,['53b5189206c194f391356d95cbf7b8419c9dff32'],False,"['baseFormatter.ts', 'baseLinter.ts']"
9e8d771d685036e43bae58272126470d851d3b08,Fix for #45,['165374cbe83f5a3991cde57677d93d8489f70aaa'],False,"['LocalDebugServer.ts', 'PythonProcess.ts']"
c807f38358b4d2e5dca9fc00c9710b393c79c559,fixes to paths #178,['47b8e7e74bf2ed168ab6fbc4b40e7ad4c135efb5'],False,['jediProxy.ts']
ef1028dee60ea49b2bd4eee8de34f7929b927ca1,updated readme with changes to #173 and #174,['33b6b719263ad8ca6760e97175b8b0e5225dec3d'],False,['README.md']
